"Case.Study.ID","weight","DEM","AvgTemp","AvgMonthlyPrec","ET","HANPP_Total","HANPP_LC","HANPP_NPP","Livestock","PA","Pop_dense","Pop_delta","GDP","HDI","Market_access","Market_density","Market_influence","Malnutrition","hf_score","hf_rank","pf_score","Mammals","HANPP_forest","HANPP_forest_harvest","HANPP_forest_new","HANPP_pasture","HANPP_pasture_harvest","HANPP_cropland","HANPP_cropland_harvest","tropical.broadleaf.evergreen","temperate.broadleaf.evergreen","broadleaf.deciduous","needleleaf.evergreen","needleleaf.deciduous","C3.grass","C3.crop","C3.pasture","C4.grass","C4.crop","C4.pasture","evergreen.shrubs","deciduous.shrubs","urban","lake","bare.soil","Fire_development_stage"
"297a",1.20329758382643,1512.5,-2.974499941,7,1734.306667,0.124899404,0.058509736,439.112706,2827.628116,0,0.095164163,0.017380545,37107.94141,0.889160812,0.322263399,157380.4092,15274.85086,0,8.469090909,14.27272727,8.741818182,57.23489933,0.01470649,0,0,0.196437215,0.160439695,0.807476346,0.622845591,0.013694382,7.64e-05,0.148988187,1e-06,0.136297375,0.322137237,0.158444911,1e-06,0.072659045,0.058602221,0.006021605,1e-06,0.039576944,0,0,0.043498643,"FALSE"
"298a",1.1962193627451,1501,19.29599953,105,1643,0.122169476,0.050183625,773.7046647,1244.62746,1,10.90859032,0.836690903,6909.92041,0.720692098,0.484069358,4931355.495,7128.385203,50,7.09,71,8.16,43,0.087558382,0.091735572,0,0.19979314,0.19979314,0.900444462,0.975511975,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.44641307,0.102740467,1e-06,1e-06,1e-06,0,0,0.450835466,"FALSE"
"299a",1.20329758382643,1567,-2.49575001,43.5,1440.25,0.146017016,-0.019701468,278.9976037,1399.627692,0,0.064019754,0.002599667,29880.53711,0.826047063,0.120406159,1779477.845,5721.288028,0,8.469090909,14.27272727,8.741818182,65,0.069588631,0.144876033,0,0.184975003,0.176233436,0.737538305,0.621673929,2.72e-05,1.19e-05,0.121287771,1e-06,0.3268843,0.237479225,0.026473481,1e-06,0.035944931,0.037005235,1e-06,1e-06,0.140742064,0,0,0.074139841,"FALSE"
"29a",0.383032246708284,948,25.94549942,117,2523.666667,0.027494821,0.009051841,616.5726412,260.5707939,1,1.391983032,0.156199157,8099.263184,0.584999979,0,0,1.310000062,114,7.142727273,69.36363636,6.983636364,102,0.047168743,0.052179668,0.039715081,0.061000071,0.059725548,0.82137153,0.06102301,0.465434104,0.012862002,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.45069322,1e-06,1e-06,1e-06,1e-06,0,0.015892064,0.055108603,"TRUE"
"29aa",0.383032246708284,1189,22.6997509,59,1814.333333,0.598991991,0.462341594,1402.259129,8992.182671,0,559.6412506,76.09620667,981.9922485,0.47299999,0.243928581,1867963.616,356.9034787,216,6.698181818,96.90909091,7.455454545,146.3333333,0.077303106,0,0,0.139731811,0.105246057,0.667344656,0.382114744,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.102420904,0.45223105,0.016438056,1e-06,1e-06,0,0.025139058,0.40376094,"TRUE"
"29ab",0.3,1650,20.54599953,46,1704.75,0.366883964,0.261969327,1316.264382,9469.703705,0,473.2819824,64.35357666,981.9922485,0.47299999,0.216950359,1640421.881,354.0991992,221.5,6.698181818,96.90909091,7.455454545,157.5,0.277997037,0.383301765,0.133779034,0.124445192,0.119889581,0.760441706,0.267745621,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.102420904,0.45223105,0.016438056,1e-06,1e-06,0,0.025139058,0.40376094,"FALSE"
"29ac",0.383032246708284,1504,21.32925034,70,1845.5,0.565851145,0.40329962,1419.353376,13407.53791,0,1105.648102,150.3384857,981.9922485,0.47299999,0.28663244,3815639.064,446.2447607,219.75,5.730909091,134.3636364,5.616363636,159.75,0.196572591,0,0,0.126531801,0.122061314,0.772200377,0.300704072,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.102420904,0.45223105,0.016438056,1e-06,1e-06,0,0.025139058,0.40376094,"FALSE"
"29ad",0.383032246708284,1227,22.95499992,43,1857,0.444334419,0.347219254,1387.955314,8262.887411,0,214.8043518,24.31232452,981.9922485,0.47299999,0.099191064,588614.2124,150.1452974,199,5.730909091,134.3636364,5.616363636,138,0.075679623,0,0,0.050359609,0.050359609,0.444916486,0.229087986,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1.47e-05,0.039755933,0.356829137,0.131066322,1e-06,1e-06,0,0.261585295,0.210739627,"FALSE"
"29ae",0.3,987,21.6079998,25,1756.75,0.452520218,0.344392412,864.6500417,3335.687466,0,73.61440277,7.820106506,1197.974487,0.47299999,0.275579475,849643.7323,435.2655272,296,5.730909091,134.3636364,5.616363636,118.5,0.326879117,0.383301765,0.004559277,0.12701193,0.117059793,0.793280521,0.267226104,0.047035787,1.09e-05,1.09e-05,1e-06,1e-06,9.65e-05,5.55e-05,0.000120572,0.321935117,0.146797761,0.157828987,0.000123886,1e-06,0,0,0.32598114,"TRUE"
"29af",0.3,1653.5,19.50962448,44.5,1501.25,0.290698869,0.2089621,883.2704103,4926.222832,0,541.9963226,57.57669067,1197.974487,0.47299999,0.648312125,3748136.199,1035.918082,273.375,5.730909091,134.3636364,5.616363636,140.3333333,0.334249183,0.383301765,0.2117908,0.12533248,0.121338933,0.815044291,0.229151665,0.009877564,4.72e-06,3.01e-06,1e-06,1e-06,1.21e-05,1e-05,1.91e-05,0.382155448,0.032007738,0.15379469,4.95e-05,1e-06,0,0.013301161,0.408761889,"TRUE"
"29ag",0.383032246708284,501,23.20574951,0,2297.25,0.287732817,0.07736783,566.0563055,828.0252116,0,102.8136139,17.7623291,2295.659668,0.410216182,0.105377359,164746.038,274.1869438,380,5.730909091,134.3636364,5.616363636,74.66666667,0.162844996,0.452434689,0.354388654,0.091691194,0.090529767,0.844437158,0.361776507,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.002824566,0.567357004,0.188368708,1e-06,1e-06,0,0.014363858,0.22707583,"TRUE"
"29ah",0.383032246708284,444,21.79750061,0,2514.75,0.629836924,0.336481474,514.9391833,1967.686703,0,379.4411621,66.0131073,2295.659668,0.410216182,0.5797748,5872122.585,1389.627606,380,5.730909091,134.3636364,5.616363636,63,0.024428094,0,0,0.139037395,0.074293066,0.807328206,0.522136642,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.029946983,0.578907788,0.006412911,1e-06,1e-06,0,0.014883274,0.369839042,"FALSE"
